"Program","Year","Period","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Data Item","Domain","Chemical Name","Chemical Type","Chemical Code","Value","CV (%)"
"SURVEY",2024,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, ADJUSTED BASE, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",NA,NA,10.9,NA
"SURVEY",2024,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES, PROCESSING - PRICE RECEIVED, ADJUSTED BASE, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED",NA,NA,4.04,NA
"SURVEY",2023,"MARKETING YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",NA,NA,123,NA
"SURVEY",2023,"MARKETING YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",NA,NA,142,NA
"SURVEY",2023,"MARKETING YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES, PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",NA,NA,43.8,NA
"SURVEY",2023,"MARKETING YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",NA,NA,121,NA
"SURVEY",2023,"MARKETING YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
"SURVEY",2023,"MARKETING YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES, PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
"SURVEY",2023,"MARKETING YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"STRAWBERRIES - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",NA,NA,147,NA
"SURVEY",2023,"MARKETING YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
"SURVEY",2023,"MARKETING YEAR","STATE","FLORIDA","12",NA,NA,NA,NA,"STRAWBERRIES, PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
"SURVEY",2023,"MARKETING YEAR","STATE","OTHER STATES",NA,NA,NA,NA,NA,"STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",NA,NA,142,NA
"SURVEY",2023,"MARKETING YEAR","STATE","OTHER STATES",NA,NA,NA,NA,NA,"STRAWBERRIES, PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",NA,NA,43.8,NA
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - ACRES HARVESTED","TOTAL","NOT SPECIFIED",NA,NA,56800,NA
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - ACRES PLANTED","TOTAL","NOT SPECIFIED",NA,NA,57300,NA
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED",NA,NA,3398943000,NA
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED",NA,NA,27560000,NA
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED",NA,NA,1378000,NA
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - YIELD, MEASURED IN CWT / ACRE","TOTAL","NOT SPECIFIED",NA,NA,485,NA
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED",NA,NA,24.26,NA
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, 10 YEAR AVG FOR PARITY PURPOSES, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",NA,NA,120,NA
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, 10 YEAR AVG, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",NA,NA,120,NA
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES, FRESH MARKET - PRICE RECEIVED, ADJUSTED BASE, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED",NA,NA,10.8,NA
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES, FRESH MARKET - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED",NA,NA,3173579000,NA
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES, FRESH MARKET, UTILIZED - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED",NA,NA,22382200,NA
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES, NOT SOLD - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED",NA,NA,33400,NA
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES, PROCESSING - PRICE RECEIVED, 10 YEAR AVG FOR PARITY PURPOSES, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED",NA,NA,44.4,NA
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES, PROCESSING - PRICE RECEIVED, 10 YEAR AVG, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED",NA,NA,44.4,NA
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES, PROCESSING - PRICE RECEIVED, ADJUSTED BASE, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED",NA,NA,4.05,NA
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES, PROCESSING - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED",NA,NA,225364000,NA
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES, PROCESSING, UTILIZED - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED",NA,NA,5144400,NA
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES, UTILIZED - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED",NA,NA,27526600,NA
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",NA,NA,NA,NA,NA,"STRAWBERRIES, UTILIZED - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED",NA,NA,1376330,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES - ACRES HARVESTED","TOTAL","NOT SPECIFIED",NA,NA,42700,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES - ACRES PLANTED","TOTAL","NOT SPECIFIED",NA,NA,43100,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","FUNGICIDE","OXATHIAPIPROLIN","128111",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","INSECTICIDE","CYCLANILIPROLE","26202",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","INSECTICIDE","PERMETHRIN","109701",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES - APPLICATIONS, MEASURED IN LB","CHEMICAL, OTHER","OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901","115003",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE","FUNGICIDE","OXATHIAPIPROLIN","128111",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","06",NA,NA,NA,NA,"STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE","INSECTICIDE","CYCLANILIPROLE","26202",NA,NA
